,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,WHO Region
0,USA,North America,331198130,5032179,,162804.0,,2576668.0,,2292707.0,18296.0,63139605.0,Americas
1,Brazil,South America,212710692,2917562,,98644.0,,2047660.0,,771258.0,8318.0,13206188.0,Americas
2,India,Asia,1381344997,2025409,,41638.0,,1377384.0,,606387.0,8944.0,22149351.0,South-EastAsia
3,Russia,Europe,145940924,871894,,14606.0,,676357.0,,180931.0,2300.0,29716907.0,Europe
4,South Africa,Africa,59381566,538184,,9604.0,,387316.0,,141264.0,539.0,3149807.0,Africa
5,Mexico,North America,129066160,462690,6590.0,50517.0,819.0,308848.0,4140.0,103325.0,3987.0,1056915.0,Americas
6,Peru,South America,33016319,455409,,20424.0,,310337.0,,124648.0,1426.0,2493429.0,Americas
7,Chile,South America,19132514,366671,,9889.0,,340168.0,,16614.0,1358.0,1760615.0,Americas
8,Colombia,South America,50936262,357710,,11939.0,,192355.0,,153416.0,1493.0,1801835.0,Americas
9,Spain,Europe,46756648,354530,,28500.0,,164329.0,,19880.0,617.0,7064329.0,Europe
10,Iran,Asia,84097623,320117,,17976.0,,277463.0,,24678.0,4156.0,2612763.0,EasternMediterranean
11,UK,Europe,67922029,308134,,46413.0,,261721.0,,0.0,73.0,17515234.0,Europe
12,Saudi Arabia,Asia,34865919,284226,,3055.0,,247089.0,,34082.0,1915.0,3635705.0,EasternMediterranean
13,Pakistan,Asia,221295851,281863,,6035.0,,256058.0,,19770.0,809.0,2058872.0,EasternMediterranean
14,Bangladesh,Asia,164851401,249651,,3306.0,,143824.0,,102521.0,,1225124.0,South-EastAsia
15,Italy,Europe,60452568,249204,,35187.0,,201323.0,,12694.0,42.0,7099713.0,Europe
16,Turkey,Asia,84428331,237265,,5798.0,,220546.0,,10921.0,580.0,5081802.0,Europe
17,Argentina,South America,45236884,228195,,4251.0,,99852.0,,124092.0,1150.0,794544.0,Americas
18,Germany,Europe,83811260,215210,,9252.0,,196200.0,,9758.0,236.0,8586648.0,Europe
19,France,Europe,65288306,195633,,30312.0,,82460.0,,82861.0,384.0,3992206.0,Europe
20,Iraq,Asia,40306025,140603,,5161.0,,101025.0,,34417.0,517.0,1092741.0,EasternMediterranean
21,Philippines,Asia,109722719,119460,,2150.0,,66837.0,,50473.0,239.0,1669996.0,WesternPacific
22,Indonesia,Asia,273808365,118753,,5521.0,,75645.0,,37587.0,,1633156.0,South-EastAsia
23,Canada,North America,37775022,118561,,8966.0,,103106.0,,6489.0,2263.0,4319172.0,Americas
24,Qatar,Asia,2807805,112092,,178.0,,108831.0,,3083.0,77.0,511000.0,EasternMediterranean
25,Kazakhstan,Asia,18798667,95942,,1058.0,,68871.0,,26013.0,221.0,2163713.0,Europe
26,Egypt,Africa,102516525,95006,,4951.0,,48898.0,,41157.0,41.0,135000.0,EasternMediterranean
27,Ecuador,South America,17668824,90537,,5877.0,,71318.0,,13342.0,378.0,258582.0,Americas
28,Bolivia,South America,11688459,86423,1282.0,3465.0,80.0,27373.0,936.0,55585.0,71.0,183583.0,Americas
29,Sweden,Europe,10105596,81967,,5766.0,,76201.0,,,38.0,863315.0,Europe
30,Oman,Asia,5118446,80713,,492.0,,70910.0,,9311.0,177.0,309212.0,EasternMediterranean
31,Israel,Asia,9197590,79559,,576.0,,53427.0,,25556.0,358.0,1872453.0,Europe
32,Ukraine,Europe,43705858,76808,,1819.0,,42524.0,,32465.0,158.0,1116641.0,Europe
33,Dominican Republic,North America,10858648,76536,,1246.0,,40539.0,,34751.0,317.0,281926.0,Americas
34,Panama,North America,4321282,71418,,1574.0,,45658.0,,24186.0,161.0,240995.0,Americas
35,Belgium,Europe,11594739,71158,,9859.0,,17661.0,,43638.0,61.0,1767120.0,Europe
36,Kuwait,Asia,4276658,70045,,469.0,,61610.0,,7966.0,127.0,522200.0,EasternMediterranean
37,Belarus,Europe,9449001,68503,,580.0,,63756.0,,4167.0,,1344303.0,Europe
38,UAE,Asia,9902079,61845,,354.0,,55739.0,,5752.0,,5262658.0,EasternMediterranean
39,Romania,Europe,19224023,57895,,2566.0,,28992.0,,26337.0,458.0,1319369.0,Europe
40,Netherlands,Europe,17138756,56982,,6153.0,,,,0.0,37.0,1079860.0,Europe
41,Singapore,Asia,5854932,54555,,27.0,,48031.0,,6497.0,,1474372.0,WesternPacific
42,Guatemala,North America,17946899,54339,,2119.0,,42070.0,,10150.0,5.0,172712.0,Americas
43,Portugal,Europe,10193593,52061,,1743.0,,37840.0,,12478.0,42.0,1705474.0,Europe
44,Poland,Europe,37842302,49515,,1774.0,,35642.0,,12099.0,72.0,2374686.0,Europe
45,Nigeria,Africa,206606300,45244,,930.0,,32430.0,,11884.0,7.0,306894.0,Africa
46,Honduras,North America,9919704,45098,,1423.0,,6116.0,,37559.0,52.0,109292.0,Americas
47,Bahrain,Asia,1706669,42889,,156.0,,39945.0,,2788.0,41.0,876700.0,EasternMediterranean
48,Japan,Asia,126435859,42263,,1026.0,,28877.0,,12360.0,115.0,938739.0,WesternPacific
49,Armenia,Asia,2963811,39819,,772.0,,31556.0,,7491.0,,171600.0,Europe
50,Ghana,Africa,31133483,39642,,199.0,,36384.0,,3059.0,7.0,405817.0,Africa
51,Kyrgyzstan,Asia,6534479,38659,,1447.0,,30099.0,,7113.0,24.0,267718.0,Europe
52,Afghanistan,Asia,39009447,36896,,1298.0,,25840.0,,9758.0,31.0,90396.0,EasternMediterranean
53,Switzerland,Europe,8660952,36108,,1985.0,,31600.0,,2523.0,23.0,822764.0,Europe
54,Algeria,Africa,43926079,33626,,1273.0,,23238.0,,9115.0,57.0,,Africa
55,Azerbaijan,Asia,10148243,33247,,479.0,,29275.0,,3493.0,66.0,766179.0,Europe
56,Morocco,Africa,36953359,29644,,449.0,,20553.0,,8642.0,31.0,1383816.0,EasternMediterranean
57,Uzbekistan,Asia,33516027,28315,,175.0,,19291.0,,8849.0,228.0,1377915.0,Europe
58,Serbia,Europe,8733665,27332,,621.0,,14047.0,,12664.0,120.0,723137.0,Europe
59,Moldova,Europe,4032983,26628,,828.0,,18676.0,,7124.0,362.0,128076.0,Europe
60,Ireland,Europe,4943200,26372,,1768.0,,23364.0,,1240.0,5.0,652917.0,Europe
61,Kenya,Africa,53881160,24411,,399.0,,10444.0,,13568.0,44.0,335318.0,Africa
62,Venezuela,South America,28427499,22299,,195.0,,12146.0,,9958.0,42.0,1567431.0,Americas
63,Nepal,Asia,29186486,21750,,65.0,,15389.0,,6296.0,,731977.0,South-EastAsia
64,Austria,Europe,9011577,21696,,719.0,,19596.0,,1381.0,25.0,937275.0,Europe
65,Costa Rica,North America,5098730,21070,,200.0,,7038.0,,13832.0,103.0,96110.0,Americas
66,Ethiopia,Africa,115223736,20900,,365.0,,9027.0,,11508.0,185.0,468814.0,Africa
67,Australia,Australia/Oceania,25528864,19890,,255.0,,10941.0,,8694.0,52.0,4631419.0,WesternPacific
68,El Salvador,North America,6489514,19126,,513.0,,9236.0,,9377.0,509.0,251271.0,Americas
69,Czechia,Europe,10711019,17731,,390.0,,12320.0,,5021.0,17.0,728670.0,Europe
70,Cameroon,Africa,26606188,17718,,391.0,,15320.0,,2007.0,30.0,149000.0,Africa
71,Ivory Coast,Africa,26437950,16447,,103.0,,12484.0,,3860.0,,104584.0,Africa
72,S. Korea,Asia,51273732,14519,20.0,303.0,1.0,13543.0,42.0,673.0,18.0,1613652.0,WesternPacific
73,Denmark,Europe,5794279,14306,,617.0,,12787.0,,902.0,2.0,1654512.0,Europe
74,Palestine,Asia,5112340,13398,,92.0,,6907.0,,6399.0,,200280.0,EasternMediterranean
75,Bosnia and Herzegovina,Europe,3278650,13396,,384.0,,7042.0,,5970.0,,147021.0,Europe
76,Bulgaria,Europe,6942854,13014,,435.0,,7374.0,,5205.0,47.0,294087.0,Europe
77,Madagascar,Africa,27755708,12526,,134.0,,10148.0,,2244.0,88.0,46301.0,Africa
78,Sudan,Africa,43943536,11780,,763.0,,6194.0,,4823.0,,401.0,EasternMediterranean
79,North Macedonia,Europe,2083365,11399,,517.0,,7480.0,,3402.0,3.0,109946.0,Europe
80,Senegal,Africa,16783877,10715,,223.0,,7101.0,,3391.0,33.0,114761.0,Africa
81,Norway,Europe,5425471,9468,,256.0,,8857.0,,355.0,3.0,472841.0,Europe
82,DRC,Africa,89802183,9309,,215.0,,8048.0,,1046.0,,,Africa
83,Malaysia,Asia,32406372,9038,,125.0,,8713.0,,200.0,2.0,991333.0,WesternPacific
84,French Guiana,South America,299385,8127,,47.0,,7240.0,,840.0,23.0,41412.0,
85,Gabon,Africa,2230563,7787,,51.0,,5609.0,,2127.0,11.0,85369.0,Africa
86,Tajikistan,Asia,9557468,7665,,62.0,,6443.0,,1160.0,,,Europe
87,Guinea,Africa,13164905,7664,,49.0,,6757.0,,858.0,24.0,14407.0,Africa
88,Haiti,North America,11416103,7544,,171.0,,4832.0,,2541.0,,18443.0,Americas
89,Finland,Europe,5541604,7532,,331.0,,6980.0,,221.0,,389500.0,Europe
90,Zambia,Africa,18430129,7164,,199.0,,5786.0,,1179.0,,90307.0,Africa
91,Luxembourg,Europe,626952,7073,,119.0,,5750.0,,1204.0,9.0,623994.0,Europe
92,Mauritania,Africa,4660728,6444,,157.0,,5291.0,,996.0,3.0,57387.0,Africa
93,Paraguay,South America,7141091,6375,,66.0,,4974.0,,1335.0,23.0,135277.0,Americas
94,Albania,Europe,2877470,6016,,188.0,,3155.0,,2673.0,23.0,38997.0,Europe
95,Lebanon,Asia,6822220,5672,,70.0,,1974.0,,3628.0,46.0,345268.0,EasternMediterranean
96,Croatia,Europe,4102577,5404,,155.0,,4688.0,,561.0,7.0,125317.0,Europe
97,Djibouti,Africa,989387,5330,,59.0,,5057.0,,214.0,,59909.0,EasternMediterranean
98,Greece,Europe,10417673,5123,,210.0,,1374.0,,3539.0,14.0,619393.0,Europe
99,Libya,Africa,6880353,4879,,107.0,,652.0,,4120.0,,59699.0,EasternMediterranean
100,Equatorial Guinea,Africa,1407001,4821,,83.0,,2182.0,,2556.0,,44356.0,Africa
101,Maldives,Asia,541448,4680,,19.0,,2725.0,,1936.0,12.0,85587.0,South-EastAsia
102,CAR,Africa,4837752,4620,,59.0,,1641.0,,2920.0,2.0,29589.0,
103,Hungary,Europe,9657785,4597,,600.0,,3463.0,,534.0,8.0,352546.0,Europe
104,Malawi,Africa,19174839,4491,,137.0,,2137.0,,2217.0,4.0,33466.0,Africa
105,Zimbabwe,Africa,14883803,4339,,84.0,,1264.0,,2991.0,,140421.0,Africa
106,Nicaragua,North America,6632263,3902,,123.0,,2913.0,,866.0,,,Americas
107,Hong Kong,Asia,7503041,3850,,46.0,,2458.0,,1346.0,39.0,692430.0,WesternPacific
108,Congo,Africa,5530506,3546,,58.0,,1589.0,,1899.0,,,Africa
109,Montenegro,Europe,628074,3480,,60.0,,2178.0,,1242.0,,38427.0,Europe
110,Thailand,Asia,69817894,3330,,58.0,,3148.0,,124.0,1.0,749213.0,South-EastAsia
111,Somalia,Africa,15933012,3227,,93.0,,1728.0,,1406.0,2.0,,EasternMediterranean
112,Mayotte,Africa,273419,3042,,39.0,,2738.0,,265.0,2.0,13000.0,
113,Eswatini,Africa,1161348,2968,,55.0,,1476.0,,1437.0,5.0,20784.0,Africa
114,Sri Lanka,Asia,21422362,2839,,11.0,,2541.0,,287.0,1.0,166737.0,South-EastAsia
115,Cuba,North America,11325899,2775,,88.0,,2409.0,,278.0,4.0,285471.0,Americas
116,Cabo Verde,Africa,556581,2734,,27.0,,2010.0,,697.0,,61633.0,Africa
117,Namibia,Africa,2545264,2652,,15.0,,563.0,,2074.0,24.0,29233.0,Africa
118,Mali,Africa,20302901,2552,,124.0,,1954.0,,474.0,,25152.0,Africa
119,Slovakia,Europe,5459915,2480,,29.0,,1824.0,,627.0,2.0,272322.0,Europe
120,South Sudan,Africa,11206572,2450,,47.0,,1175.0,,1228.0,,12044.0,Africa
121,Slovenia,Europe,2078968,2223,,125.0,,1909.0,,189.0,2.0,135702.0,Europe
122,Lithuania,Europe,2718121,2171,,81.0,,1656.0,,434.0,6.0,540784.0,Europe
123,Estonia,Europe,1326627,2124,,63.0,,1954.0,,107.0,,122880.0,Europe
124,Mozambique,Africa,31333962,2120,,15.0,,795.0,,1310.0,,65151.0,Africa
125,Rwanda,Africa,12981546,2111,,5.0,,1258.0,,848.0,,286251.0,Africa
126,Suriname,South America,587154,2096,,29.0,,1446.0,,621.0,9.0,2785.0,Americas
127,Guinea-Bissau,Africa,1972277,2032,,27.0,,944.0,,1061.0,5.0,1500.0,Africa
128,Benin,Africa,12151976,1936,,38.0,,1600.0,,298.0,1.0,93677.0,Africa
129,Iceland,Europe,341465,1930,,10.0,,1825.0,,95.0,,149693.0,Europe
130,Sierra Leone,Africa,7992169,1877,,67.0,,1427.0,,383.0,,,Africa
131,Yemen,Asia,29886897,1768,,508.0,,898.0,,362.0,,120.0,EasternMediterranean
132,Tunisia,Africa,11830801,1642,,51.0,,1241.0,,350.0,9.0,100298.0,EasternMediterranean
133,New Zealand,Australia/Oceania,5002100,1569,,22.0,,1524.0,,23.0,,486943.0,WesternPacific
134,Angola,Africa,32956300,1483,,64.0,,520.0,,899.0,20.0,64747.0,Africa
135,Uruguay,South America,3474956,1318,,37.0,,1079.0,,202.0,2.0,126956.0,Americas
136,Latvia,Europe,1883936,1275,,32.0,,1070.0,,173.0,,207909.0,Europe
